"id","original_name"
base.state_es_a,"Alacant"
base.state_es_ab,"Albacete"
base.state_es_al,"Almería"
base.state_es_av,"Ávila"
base.state_es_b,"Barcelona"
base.state_es_ba,"Badajoz"
base.state_es_bi,"Bizkaia"
base.state_es_bu,"Burgos"
base.state_es_c,"A Coruña"
base.state_es_ca,"Cádiz"
base.state_es_cc,"Cáceres"
base.state_es_ce,"Ceuta"
base.state_es_co,"Córdoba"
base.state_es_cr,"Ciudad Real"
base.state_es_cs,"Castelló"
base.state_es_cu,"Cuenca"
base.state_es_gc,"Las Palmas"
base.state_es_gi,"Girona"
base.state_es_gr,"Granada"
base.state_es_gu,"Guadalajara"
base.state_es_h,"Huelva"
base.state_es_hu,"Huesca"
base.state_es_j,"Jaén"
base.state_es_l,"Lleida"
base.state_es_le,"León"
base.state_es_lo,"La Rioja"
base.state_es_lu,"Lugo"
base.state_es_m,"Madrid"
base.state_es_ma,"Málaga"
base.state_es_ml,"Melilla"
base.state_es_mu,"Murcia"
base.state_es_na,"Navarra"
base.state_es_o,"Asturias"
base.state_es_or,"Ourense"
base.state_es_p,"Palencia"
base.state_es_pm,"Illes Balears"
base.state_es_po,"Pontevedra"
base.state_es_s,"Cantabria"
base.state_es_sa,"Salamanca"
base.state_es_se,"Sevilla"
base.state_es_sg,"Segovia"
base.state_es_so,"Soria"
base.state_es_ss,"Gipuzkoa"
base.state_es_t,"Tarragona"
base.state_es_te,"Teruel"
base.state_es_tf,"Santa Cruz de Tenerife"
base.state_es_to,"Toledo"
base.state_es_v,"València"
base.state_es_va,"Valladolid"
base.state_es_vi,"Álava"
base.state_es_z,"Zaragoza"
base.state_es_za,"Zamora"